user_id,anime_id,derived_rating
1,1,2.50000
1,934,3.33333
1,16742,5.00000
1,37171,10.00000
1,51122,2.00000
2,49778,0.13158
2,49818,0.12987
2,50002,10.00000
2,50184,5.00000
2,50197,3.33333
2,50220,2.50000
2,50306,0.12821
2,50307,2.00000
2,50416,1.66667
2,50583,1.42857
2,50694,0.12658
2,50695,0.12500
2,50739,1.25000
2,50796,1.11111
2,50803,0.12346
2,51009,1.00000
2,51020,0.90909
2,51105,0.83333
2,51219,0.76923
2,51297,0.71429
2,51458,0.66667
2,51461,0.12195
2,51498,0.62500
2,51552,0.58824
2,51614,0.55556
2,51705,0.52632
2,51764,0.50000
2,51794,0.47619
2,51815,0.45455
2,51916,0.43478
2,51958,0.41667
2,52080,0.12048
2,52081,0.40000
2,52082,0.38462
2,52173,0.37037
2,52214,0.35714
2,52215,0.11905
2,52305,0.34483
2,52308,0.33333
2,52347,0.11765
2,52359,0.32258
2,52367,0.11628
2,52481,0.11494
2,52505,0.31250
2,52578,0.30303
2,52588,0.11364
2,52611,0.29412
2,52701,0.28571
2,52709,0.11236
2,52741,0.11111
2,52816,0.10989
2,52830,0.27778
2,52934,0.27027
2,52962,0.26316
2,52969,0.25641
2,52973,0.25000
2,52985,0.10870
2,52990,0.10753
2,53012,0.24390
2,53026,0.23810
2,53033,0.23256
2,53065,0.10638
2,53126,0.22727
2,53128,0.10526
2,53263,0.22222
2,53300,0.10417
2,53379,0.21739
2,53397,0.10309
2,53410,0.10204
2,53421,0.10101
2,53434,0.10000
2,53621,0.21277
2,53632,0.20833
2,53633,0.20408
2,53770,0.20000
2,53865,0.19608
2,54103,0.19231
2,54234,0.18868
2,54259,0.18519
2,54431,0.18182
2,54492,0.17857
2,54744,0.17544
2,54760,0.17241
2,54852,0.16949
2,54856,0.16667
2,55071,0.16393
2,55651,0.16129
2,55894,0.15873
2,56228,0.15625
2,56230,0.15385
2,56838,0.15152
2,56843,0.14925
2,57181,0.14706
2,57559,0.14493
2,57891,0.14286
2,58080,0.14085
2,58172,0.13889
2,58511,0.13699
2,59505,0.13514
2,60489,0.13333
3,21,0.20833
3,66,0.20408
3,237,0.20000
3,263,0.19608
3,306,0.19231
3,324,0.18868
3,329,0.18519
3,1048,0.18182
3,1210,10.00000
3,1453,0.17857
3,2164,0.17544
3,2246,0.17241
3,2605,5.00000
3,4981,0.16949
3,7785,3.33333
3,9253,1.25000
3,9941,0.16667
3,19703,2.50000
3,21939,0.16393
3,35249,0.16129
3,35737,0.15873
3,38192,0.34483
3,39196,1.11111
3,40833,0.23256
3,40908,0.22727
3,41025,0.33333
3,41457,0.22222
